DATE ADDED TO CATALOG,PUBMED ID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,PLATFORM [SNPS PASSING QC],ASSOCIATION COUNT,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY,SUBMISSION DATE,STATISTICAL MODEL,BACKGROUND TRAIT,MAPPED BACKGROUND TRAIT,MAPPED BACKGROUND TRAIT URI,COHORT,FULL SUMMARY STATISTICS,SUMMARY STATS LOCATION,category,selection_reason,kidney_trait_hits,comparator_trait_hits,summary_stats_available,summary_stats_location,sample_size_combined
not yet curated,not yet curated,Md Moksedul momin,not yet curated,not yet curated,,Cross-Ancestry Polygenic Prediction: Comparing Methods and Assessing Transferability Across Traits,BMI,not yet curated,not yet curated,NR [4113630],not yet curated,not yet curated,not yet curated,GCST90267331,Genome-wide genotyping array,2023-04-04,,,not yet curated,not yet curated,White British,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267331,comparator,bmi matched in DISEASE/TRAIT: BMI,,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267331,
not yet curated,not yet curated,Md Moksedul momin,not yet curated,not yet curated,,Cross-Ancestry Polygenic Prediction: Comparing Methods and Assessing Transferability Across Traits,BMI,not yet curated,not yet curated,NR [2280806],not yet curated,not yet curated,not yet curated,GCST90267332,Genome-wide genotyping array,2023-04-04,,,not yet curated,not yet curated,White British,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267332,comparator,bmi matched in DISEASE/TRAIT: BMI,,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267332,
not yet curated,not yet curated,Md Moksedul Momin,not yet curated,not yet curated,,Cross-Ancestry Polygenic Prediction: Comparing Methods and Assessing Transferability Across Traits,BMI,not yet curated,not yet curated,NR [4113630],not yet curated,not yet curated,not yet curated,GCST90268031,Genome-wide genotyping array,2023-04-28,,,not yet curated,not yet curated,UKBB,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90268001-GCST90269000/GCST90268031,comparator,bmi matched in DISEASE/TRAIT: BMI,,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90268001-GCST90269000/GCST90268031,
not yet curated,not yet curated,Md Moksedul Momin,not yet curated,not yet curated,,Cross-Ancestry Polygenic Prediction: Comparing Methods and Assessing Transferability Across Traits,BMI,not yet curated,not yet curated,NR [2280806],not yet curated,not yet curated,not yet curated,GCST90268032,Genome-wide genotyping array,2023-04-28,,,not yet curated,not yet curated,UKBB,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90268001-GCST90269000/GCST90268032,comparator,bmi matched in DISEASE/TRAIT: BMI,,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90268001-GCST90269000/GCST90268032,
not yet curated,not yet curated,Paolo A Lorenzini,not yet curated,not yet curated,https://doi.org/10.1101/2024.05.30.24307732,Multi-omics and Mendelian Randomization network analysis of the association between metabolic and cognitive functions in the UK Biobank Database,Body Mass Index,not yet curated,not yet curated,NR [577742],not yet curated,not yet curated,not yet curated,GCST90444285,Genome-wide genotyping array,2024-07-24,,,not yet curated,not yet curated,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444285,comparator,bmi matched in DISEASE/TRAIT: Body Mass Index,,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444285,
not yet curated,not yet curated,Paolo A Lorenzini,not yet curated,not yet curated,https://doi.org/10.1101/2024.05.30.24307732,Multi-omics and Mendelian Randomization network analysis of the association between metabolic and cognitive functions in the UK Biobank Database,Body Mass Index,not yet curated,not yet curated,NR [587951],not yet curated,not yet curated,not yet curated,GCST90444306,Genome-wide genotyping array,2024-07-24,,,not yet curated,not yet curated,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444306,comparator,bmi matched in DISEASE/TRAIT: Body Mass Index,,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444306,
not yet curated,not yet curated,Paolo A Lorenzini,not yet curated,not yet curated,https://doi.org/10.1101/2024.05.30.24307732,Multi-omics and Mendelian Randomization network analysis of the association between metabolic and cognitive functions in the UK Biobank Database,Body Mass Index,not yet curated,not yet curated,NR [591769],not yet curated,not yet curated,not yet curated,GCST90444328,Genome-wide genotyping array,2024-07-24,,,not yet curated,not yet curated,,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444328,comparator,bmi matched in DISEASE/TRAIT: Body Mass Index,,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444328,
not yet curated,not yet curated,Paras Garg,not yet curated,not yet curated,https://www.medrxiv.org/content/10.1101/2025.08.05.25333035v1,A phenome-wide association study of CNVs genotyped from genome sequencing read  depth in the UK Biobank,Body mass index (BMI),not yet curated,not yet curated,Illumina [231448],not yet curated,not yet curated,not yet curated,GCST90826151,Whole genome sequencing,2026-03-10,"additive, recessive and dosage sensitive models",(none),not yet curated,not yet curated,UK Biobank,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90826001-GCST90827000/GCST90826151,comparator,bmi matched in DISEASE/TRAIT: Body mass index (BMI),,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90826001-GCST90827000/GCST90826151,
not yet curated,not yet curated,Paras Garg,not yet curated,not yet curated,https://www.medrxiv.org/content/10.1101/2025.08.05.25333035v1,A phenome-wide association study of CNVs genotyped from genome sequencing read  depth in the UK Biobank,Body mass index (BMI),not yet curated,not yet curated,Illumina [231448],not yet curated,not yet curated,not yet curated,GCST90826182,Whole genome sequencing,2026-03-10,"additive, recessive and dosage sensitive models",(none),not yet curated,not yet curated,UK Biobank,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90826001-GCST90827000/GCST90826182,comparator,bmi matched in DISEASE/TRAIT: Body mass index (BMI),,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90826001-GCST90827000/GCST90826182,
not yet curated,not yet curated,,not yet curated,not yet curated,,Genes & Health - Health research for South Asians - single variant GWAS results,Body mass index - max,not yet curated,not yet curated,Illumina [37624421],not yet curated,not yet curated,not yet curated,GCST90727459,Genome-wide genotyping array,2026-01-05,ADD,,not yet curated,not yet curated,G&H,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727459,comparator,bmi matched in DISEASE/TRAIT: Body mass index - max,,bmi,yes,ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727459,
