study_accession	category	trait_name	input_build	target_build	coordinate_system	conversion_method	chain_used	status	input_feature_count	output_feature_count	unmapped_feature_count	notes
GCST90267331	comparator	BMI	unknown	GRCh38	1-based	not_run		unavailable	0	0	0	No downloadable association table found
GCST90267332	comparator	BMI	unknown	GRCh38	1-based	not_run		unavailable	0	0	0	No downloadable association table found
GCST90268031	comparator	BMI	GRCh37	GRCh38	1-based	liftOver_hg19ToHg38	hg19ToHg38.over.chain.gz	lifted	24667	24662	5	skipped_missing_coordinates=0;lifted_features=24662;unmapped_after_liftover=5
GCST90268032	comparator	BMI	GRCh37	GRCh38	1-based	liftOver_hg19ToHg38	hg19ToHg38.over.chain.gz	lifted	19257	19253	4	skipped_missing_coordinates=0;lifted_features=19253;unmapped_after_liftover=4
GCST90444285	comparator	Body Mass Index	GRCh38	GRCh38	1-based	none_needed		retained	331	331	0	skipped_missing_coordinates=0
GCST90444306	comparator	Body Mass Index	GRCh38	GRCh38	1-based	none_needed		retained	127	127	0	skipped_missing_coordinates=0
GCST90444328	comparator	Body Mass Index	GRCh38	GRCh38	1-based	none_needed		retained	78	78	0	skipped_missing_coordinates=0
GCST90826151	comparator	Body mass index (BMI)	GRCh38	GRCh38	0-based	none_needed		retained	884	884	0	skipped_missing_coordinates=0
GCST90826182	comparator	Body mass index (BMI)	GRCh38	GRCh38	0-based	none_needed		retained	913	913	0	skipped_missing_coordinates=0
GCST90727459	comparator	Body mass index - max	GRCh38	GRCh38	1-based	none_needed		retained	1021	1021	0	skipped_missing_coordinates=0
GCST90727460	comparator	Body mass index - median	GRCh38	GRCh38	1-based	none_needed		retained	1070	1070	0	skipped_missing_coordinates=0
GCST90727461	comparator	Body mass index - min	GRCh38	GRCh38	1-based	none_needed		retained	896	896	0	skipped_missing_coordinates=0
GCST90728446	comparator	Body mass index >= 30 without an associated BMI value (Quality and Outcomes Framework codes)	GRCh38	GRCh38	1-based	none_needed		retained	33	33	0	skipped_missing_coordinates=0
GCST90104677	comparator	Childhood body mass index	GRCh38	GRCh38	1-based	none_needed		retained	161	161	0	skipped_missing_coordinates=0
GCST90104684	comparator	Childhood diastolic blood pressure	GRCh38	GRCh38	1-based	none_needed		retained	15	15	0	skipped_missing_coordinates=0
GCST90104683	comparator	Childhood systolic blood pressure	GRCh38	GRCh38	1-based	none_needed		retained	64	64	0	skipped_missing_coordinates=0
