study_accession	category	trait_name	detected_build	coordinate_system	meta_file_used	detection_notes	ancestry_from_meta	sample_size_from_meta	trait_description_from_meta	source_path	data_file_name	local_data_file	local_meta_file
GCST90267331	comparator	BMI	unknown	1-based		no_meta_build; coordinate_system_defaulted_to_1-based				ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267331			
GCST90267332	comparator	BMI	unknown	1-based		no_meta_build; coordinate_system_defaulted_to_1-based				ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267332			
GCST90268031	comparator	BMI	GRCh37	1-based	GCST90268031.tsv.gz-meta.yaml	meta:GCST90268031.tsv.gz-meta.yaml; coordinate_system_defaulted_to_1-based	European	258792	BMI	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90268001-GCST90269000/GCST90268031	GCST90268031.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90268031/GCST90268031.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90268031/GCST90268031.tsv.gz-meta.yaml
GCST90268032	comparator	BMI	GRCh37	1-based	GCST90268032.tsv.gz-meta.yaml	meta:GCST90268032.tsv.gz-meta.yaml; coordinate_system_defaulted_to_1-based	European	258792	BMI	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90268001-GCST90269000/GCST90268032	GCST90268032.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90268032/GCST90268032.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90268032/GCST90268032.tsv.gz-meta.yaml
GCST90444285	comparator	Body Mass Index	GRCh38	1-based	harmonised/GCST90444285.h.tsv.gz-meta.yaml	meta:harmonised/GCST90444285.h.tsv.gz-meta.yaml; coordinate_system:1-based	European	261089	Body Mass Index	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444285	harmonised/GCST90444285.h.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90444285/harmonised/GCST90444285.h.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90444285/harmonised/GCST90444285.h.tsv.gz-meta.yaml
GCST90444306	comparator	Body Mass Index	GRCh38	1-based	harmonised/GCST90444306.h.tsv.gz-meta.yaml	meta:harmonised/GCST90444306.h.tsv.gz-meta.yaml; coordinate_system:1-based	European	140180	Body Mass Index	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444306	harmonised/GCST90444306.h.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90444306/harmonised/GCST90444306.h.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90444306/harmonised/GCST90444306.h.tsv.gz-meta.yaml
GCST90444328	comparator	Body Mass Index	GRCh38	1-based	harmonised/GCST90444328.h.tsv.gz-meta.yaml	meta:harmonised/GCST90444328.h.tsv.gz-meta.yaml; coordinate_system:1-based	European	120909	Body Mass Index	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444328	harmonised/GCST90444328.h.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90444328/harmonised/GCST90444328.h.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90444328/harmonised/GCST90444328.h.tsv.gz-meta.yaml
GCST90826151	comparator	Body mass index (BMI)	GRCh38	0-based	GCST90826151.tsv.gz-meta.yaml	meta:GCST90826151.tsv.gz-meta.yaml; coordinate_system:0-based	European	404118	Body mass index (BMI)	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90826001-GCST90827000/GCST90826151	GCST90826151.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90826151/GCST90826151.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90826151/GCST90826151.tsv.gz-meta.yaml
GCST90826182	comparator	Body mass index (BMI)	GRCh38	0-based	GCST90826182.tsv.gz-meta.yaml	meta:GCST90826182.tsv.gz-meta.yaml; coordinate_system:0-based	European	398931	Body mass index (BMI)	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90826001-GCST90827000/GCST90826182	GCST90826182.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90826182/GCST90826182.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90826182/GCST90826182.tsv.gz-meta.yaml
GCST90727459	comparator	Body mass index - max	GRCh38	1-based	harmonised/GCST90727459.h.tsv.gz-meta.yaml	meta:harmonised/GCST90727459.h.tsv.gz-meta.yaml; coordinate_system:1-based	South Asian	41400	Body mass index - max	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727459	harmonised/GCST90727459.h.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90727459/harmonised/GCST90727459.h.tsv.gz	/home/vince395/gwas_human2mouse/downloads/GCST90727459/harmonised/GCST90727459.h.tsv.gz-meta.yaml
