study_accession	category	trait_name	source_path	root_status	data_file_name	data_file_type	data_file_size_text	data_file_size_bytes	harmonised_dir_present	meta_files	available_entries	notes
GCST90267331	comparator	BMI	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267331	404					no			ERROR: 404 Client Error: Not Found for url: https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267331/
GCST90267332	comparator	BMI	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267332	404					no			ERROR: 404 Client Error: Not Found for url: https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267332/
GCST90268031	comparator	BMI	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90268001-GCST90269000/GCST90268031	200	GCST90268031.tsv.gz	compressed_table	81M	84934656	no	GCST90268031.tsv.gz-meta.yaml; md5sum.txt	Name; GCST90268031.tsv.gz; GCST90268031.tsv.gz-meta.yaml; md5sum.txt	
GCST90268032	comparator	BMI	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90268001-GCST90269000/GCST90268032	200	GCST90268032.tsv.gz	compressed_table	47M	49283072	no	GCST90268032.tsv.gz-meta.yaml; md5sum.txt	Name; GCST90268032.tsv.gz; GCST90268032.tsv.gz-meta.yaml; md5sum.txt	
GCST90444285	comparator	Body Mass Index	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444285	200	harmonised/GCST90444285.h.tsv.gz	harmonised	27M	28311552	yes	GCST90444285.tsv-meta.yaml; md5sum.txt; harmonised/GCST90444285.h.tsv.gz-meta.yaml; harmonised/md5sum.txt	Name; GCST90444285.tsv; GCST90444285.tsv-meta.yaml; harmonised/; md5sum.txt	
GCST90444306	comparator	Body Mass Index	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444306	200	harmonised/GCST90444306.h.tsv.gz	harmonised	27M	28311552	yes	GCST90444306.tsv-meta.yaml; md5sum.txt; harmonised/GCST90444306.h.tsv.gz-meta.yaml; harmonised/md5sum.txt	Name; GCST90444306.tsv; GCST90444306.tsv-meta.yaml; harmonised/; md5sum.txt	
GCST90444328	comparator	Body Mass Index	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444328	200	harmonised/GCST90444328.h.tsv.gz	harmonised	27M	28311552	yes	GCST90444328.tsv-meta.yaml; md5sum.txt; harmonised/GCST90444328.h.tsv.gz-meta.yaml; harmonised/md5sum.txt	Name; GCST90444328.tsv; GCST90444328.tsv-meta.yaml; harmonised/; md5sum.txt	
GCST90826151	comparator	Body mass index (BMI)	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90826001-GCST90827000/GCST90826151	200	GCST90826151.tsv.gz	compressed_table	13K	13312	no	GCST90826151.tsv.gz-meta.yaml; md5sum.txt	Name; GCST90826151.tsv.gz; GCST90826151.tsv.gz-meta.yaml; md5sum.txt	
GCST90826182	comparator	Body mass index (BMI)	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90826001-GCST90827000/GCST90826182	200	GCST90826182.tsv.gz	compressed_table	13K	13312	no	GCST90826182.tsv.gz-meta.yaml; md5sum.txt	Name; GCST90826182.tsv.gz; GCST90826182.tsv.gz-meta.yaml; md5sum.txt	
GCST90727459	comparator	Body mass index - max	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727459	200	harmonised/GCST90727459.h.tsv.gz	harmonised	1.1G	1181116006	yes	GCST90727459.tsv-meta.yaml; md5sum.txt; harmonised/GCST90727459.h.tsv.gz-meta.yaml; harmonised/md5sum.txt	Name; GCST90727459.tsv; GCST90727459.tsv-meta.yaml; harmonised/; md5sum.txt	
GCST90727460	comparator	Body mass index - median	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727460	200	harmonised/GCST90727460.h.tsv.gz	harmonised	1.1G	1181116006	yes	GCST90727460.tsv-meta.yaml; md5sum.txt; harmonised/GCST90727460.h.tsv.gz-meta.yaml; harmonised/md5sum.txt	Name; GCST90727460.tsv; GCST90727460.tsv-meta.yaml; harmonised/; md5sum.txt	
GCST90727461	comparator	Body mass index - min	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90727001-GCST90728000/GCST90727461	200	harmonised/GCST90727461.h.tsv.gz	harmonised	1.1G	1181116006	yes	GCST90727461.tsv-meta.yaml; md5sum.txt; harmonised/GCST90727461.h.tsv.gz-meta.yaml; harmonised/md5sum.txt	Name; GCST90727461.tsv; GCST90727461.tsv-meta.yaml; harmonised/; md5sum.txt	
GCST90728446	comparator	Body mass index >= 30 without an associated BMI value (Quality and Outcomes Framework codes)	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90728001-GCST90729000/GCST90728446	200	harmonised/GCST90728446.h.tsv.gz	harmonised	1.1G	1181116006	yes	GCST90728446.tsv-meta.yaml; md5sum.txt; harmonised/GCST90728446.h.tsv.gz-meta.yaml; harmonised/md5sum.txt	Name; GCST90728446.tsv; GCST90728446.tsv-meta.yaml; harmonised/; md5sum.txt	
GCST90104677	comparator	Childhood body mass index	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104677	200	harmonised/GCST90104677.h.tsv.gz	harmonised	156M	163577856	yes	GCST90104677_buildGRCh37.tsv.gz-meta.yaml; md5sum.txt; harmonised/GCST90104677.h.tsv.gz-meta.yaml; harmonised/md5sum.txt	Name; GCST90104677_buildGRCh37.tsv.gz; GCST90104677_buildGRCh37.tsv.gz-meta.yaml; README.txt; harmonised/; md5sum.txt	
GCST90104684	comparator	Childhood diastolic blood pressure	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104684	200	harmonised/GCST90104684.h.tsv.gz	harmonised	157M	164626432	yes	GCST90104684_buildGRCh37.tsv.gz-meta.yaml; md5sum.txt; harmonised/GCST90104684.h.tsv.gz-meta.yaml; harmonised/md5sum.txt	Name; GCST90104684_buildGRCh37.tsv.gz; GCST90104684_buildGRCh37.tsv.gz-meta.yaml; README.txt; harmonised/; md5sum.txt	
